sample_name	anonymized_name	collection_timestamp	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	taxon_id	title	tube_id	mouse_type	sampling_depth
14365.Wound.feces.31	WC31	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.31	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 63	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	63	wound	3570735.0
14365.Vanco.feces.27	VC27	2021-11-23 09:59:59.995000	mouse fecal sampleVanco.feces.27	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 91	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	91	vancomycin	13812869.0
14365.Wound.feces.3	WC3	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.3	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 35	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	35	wound	1094969.0
14365.Vanco.feces.9	VC9	2021-11-23 09:59:59.995000	mouse fecal sampleVanco.feces.9	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 73	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	73	vancomycin	123649.0
14365.Con.feces.4	CC4	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.4	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 4	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	4	control	172350.0
14365.Wound.feces.12	WC12	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.12	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 44	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	44	wound	1044220.0
14365.Wound.feces.11	WC11	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.11	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 43	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	43	wound	5419357.0
14365.Wound.feces.14	WC14	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.14	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 46	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	46	wound	6760546.0
14365.Con.feces.28	CC28	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.28	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 28	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	28	control	5660695.0
14365.Vanco.feces.24	VC24	2021-11-23 09:59:59.995000	mouse fecal sampleVanco.feces.24	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 88	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	88	vancomycin	16033807.0
14365.Con.feces.19	CC19	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.19	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 19	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	19	control	10872686.0
14365.Con.feces.6	CC6	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.6	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 6	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	6	control	1926250.0
14365.Con.feces.32	CC32	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.32	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 32	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	32	control	1801157.0
14365.Wound.feces.21	WC21	2021-11-23 09:59:59.995000	mouse fecal sampleWound.feces.21	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 53	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	53	wound	6751830.0
14365.Con.feces.12	CC12	2021-11-23 09:59:59.995000	mouse fecal sampleCon.feces.12	True	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not applicable	not applicable	adult	Mus musculus	mouse 12	10090	20	g	32.5	-117.25	UCSDMI/Gallo Lab	True	14365	feces	mouse gut metagenome	female	410661	Skin Gut axis	12	control	7439267.0
