gotu	covered_length	total_length	coverage_ratio	strain
G000403215	5512910	6961896	0.7918690540622841	Lachnospiraceae bacterium A4 Lach_bact_A4_V1
G001314975	5405710	6487685	0.8332263357422562	Bacteroides thetaiotaomicron 7330
G000011065	5325961	6293399	0.8462773455171045	Bacteroides thetaiotaomicron VPI-5482
G000403455	5311637	6145811	0.8642694999895051	Dorea sp. 5-2 Dore_bact_5-2_V1
G000403295	4998385	5799088	0.8619260476819803	Lachnospiraceae bacterium M18-1 Lach_bact_M18-1_V1
G000403315	4866604	5238929	0.9289310849603039	Lachnospiraceae bacterium A2 Lach_bact_A2_V1
G000299455	4652123	5437407	0.8555774838999545	Escherichia coli O104:H4 str. 2011C-3493
G000437995	4612052	5384454	0.856549614872743	Bacteroides thetaiotaomicron CAG:40 MGS40
G000012825	4500958	5163189	0.8717399266228681	Bacteroides vulgatus ATCC 8482
G000008865	4372329	5594477	0.7815438333198975	Escherichia coli O157:H7 str. Sakai Sakai substr. RIMD 0509952
G000020205	4356151	5325729	0.8179445480609321	Ralstonia pickettii 12J
G000026325	4342115	5358200	0.8103682206711209	Escherichia coli UMN026
G000026345	4181521	5132068	0.8147828516691517	Escherichia coli IAI39
G000403435	4120669	4467686	0.9223273524594163	Oscillibacter sp. 1-3 Osci_bact_1-3_V1
G000006925	4051841	4828820	0.8390954725999312	Shigella flexneri 2a str. 301
G000403475	4007374	4455623	0.8993970091275676	Lachnospiraceae bacterium 3-2 Lach_bact_3-2_V1
G000183345	3997099	4894879	0.8165879074845364	Escherichia coli O83:H1 str. NRG 857C
G000513215	3729768	5113802	0.7293532287718609	Serratia marcescens subsp. marcescens Db11
G000012005	3718402	4560911	0.8152761586446217	Shigella dysenteriae Sd197
G000438035	3692248	3839656	0.9616090608116977	Bacteroides vulgatus CAG:6 MGS6
G000403395	3249746	3620383	0.8976249197943974	Anaerotruncus sp. G3(2012) G3
G000403275	2844218	4283535	0.6639885048213683	Lachnospiraceae bacterium 28-4 Lach_bact_28-4_V1
G000007785	2579412	3359974	0.7676880833006446	Enterococcus faecalis V583 ASM778v1
G000020225	2539144	2664102	0.9530956397315118	Akkermansia muciniphila ATCC BAA-835
G000648175	2525493	2913733	0.8667551213512014	Enterococcus faecalis NJ44
G000723745	2493943	2557614	0.9751053129987559	Akkermansia muciniphila isolate Urmite
G000706685	2466164	2866963	0.8602008466799188	Staphylococcus xylosus HKUOPL8
G000648015	2440222	2665688	0.9154192088496478	Enterococcus faecalis FL2
G000415005	2438392	2904787	0.8394391740254965	Enterococcus faecalis 02-MB-P-10
G000415085	2419830	2656402	0.9109426961732449	Enterococcus faecalis B83616-1
G000436135	2401209	3749602	0.6403903667642592	Bacteroides dorei CAG:222 MGS222
G001917295	2374042	2966498	0.8002843757184397	Akkermansia sp. 54_46 ASM191729v1
G000598465	2357617	5430750	0.434123647746628	Bacteroides fragilis str. 3986 T(B)9
G000436395	2330604	2721828	0.8562642459405958	Akkermansia muciniphila CAG:154 MGS154
G000009925	2322935	5310990	0.4373826725337461	Bacteroides fragilis YCH46
G000599385	2223380	5225713	0.4254692134834041	Bacteroides fragilis str. S6L8
G000205025	2213271	2831696	0.7816061469875297	Parasutterella excrementihominis YIT 11859
G000598965	2188312	5062782	0.43223508339881117	Bacteroides fragilis str. 3986 T(B)13
G000980515	2187059	2770805	0.7893225975844566	Akkermansia sp. UNK.MGS-1 ASM98051v1
G001945605	2073463	2254642	0.9196417879202108	Dubosiella newyorkensis NYU-BL-A4
G001940945	2056775	2437735	0.8437237845787176	Akkermansia sp. Phil8 ASM194094v1
G000431455	1941424	2501735	0.7760310344620833	Parasutterella excrementihominis CAG:233 MGS233
G000434095	1924361	4457568	0.4317064820996561	Bacteroides fragilis CAG:47 MGS47
G001953785	1901022	2308018	0.8236599541251411	Lactobacillus murinus EF-1
